Name,Property,Order,Type,TypeSize,IsNull,,,,,
Playlist,PlaylistId,1,INTEGER,0,FALSE,,,,,
Playlist,Name,2,VARCHAR,120,FALSE,,,,,
PlaylistTrack,PlaylistTrackId,1,INTEGER,0,FALSE,,,,,
PlaylistTrack,TrackId,2,INTEGER,0,FALSE,,,,,
PlaylistTrack,PlaylistId,3,INTEGER,0,FALSE,,,,,
Track,TrackId,1,INTEGER,0,FALSE,,,,,
Track,Name,2,NVARCHAR,200,FALSE,,,,,
Track,AlbumId,3,INTEGER,0,FALSE,,,,,
Track,MediaTypeId,4,INTEGER,0,FALSE,,,,,
Track,GenreId,5,INTEGER,0,FALSE,,,,,
Track,Composer,6,NVARCHAR,220,FALSE,,,,,
Track,Milliseconds,7,NUMERIC,0,FALSE,,,,,
Track,Bytes,8,INTEGER,0,FALSE,,,,,
Track,UnitPrice,9,NUMERIC,0,FALSE,,,,,
Album,AlbumId,1,INTEGER,0,FALSE,,,,,
Album,Name,2,NVARCHAR,160,FALSE,,,,,
Album,ArtistId,3,INTEGER,0,FALSE,,,,,
Artist,ArtistId,1,INTEGER,0,FALSE,,,,,
Artist,Name,2,NVARCHAR,160,FALSE,,,,,
Customer,CustomerId,1,INTEGER,0,FALSE,,,,,
Customer,FirstName,2,NVARCHAR,40,FALSE,,,,,
Customer,LastName,2,NVARCHAR,20,FALSE,,,,,
Customer,Company,2,NVARCHAR,80,TRUE,,,,,
Customer,Address,2,NVARCHAR,70,TRUE,,1,INTEGER,null,FALSE
Customer,City,2,NVARCHAR,40,TRUE,,,,,
Customer,State,2,NVARCHAR,40,TRUE,,,,,
Customer,Country,2,NVARCHAR,40,TRUE,,,,,
Customer,PostalCode,2,NVARCHAR,10,TRUE,,,,,
Customer,Phone,2,NVARCHAR,24,TRUE,,,,,
Customer,Fax,2,NVARCHAR,24,TRUE,,,,,
Customer,Email,2,NVARCHAR,60,FALSE,,,,,
Customer,SupportRepId,2,INTEGER,0,FALSE,,,,,
Employee,EmployeeId,1,INTEGER,0,FALSE,,,,,
Employee,FirstName,2,NVARCHAR,20,FALSE,,,,,
Employee,LastName,2,NVARCHAR,20,FALSE,,,,,
Employee,Title,2,NVARCHAR,30,TRUE,,,,,
Employee,ReportsTo,2,INTEGER,0,TRUE,,1,INTEGER,null,FALSE
Employee,BirthDate,2,DATETIME,0,TRUE,,,,,
Employee,HireDate,2,DATETIME,0,TRUE,,,,,
Employee,Address,2,NVARCHAR,70,TRUE,,,,,
Employee,City,2,NVARCHAR,40,TRUE,,,,,
Employee,State,2,NVARCHAR,40,TRUE,,,,,
Employee,Country,2,NVARCHAR,40,TRUE,,,,,
Employee,PostalCode,2,NVARCHAR,10,TRUE,,,,,
Employee,Phone,2,NVARCHAR,24,TRUE,,,,,
Employee,Fax,2,NVARCHAR,24,TRUE,,,,,
Employee,Email,2,NVARCHAR,60,TRUE,,,,,
Genre,GenreId,1,INTEGER,0,FALSE,,,,,
Genre,Name,2,NVARCHAR,160,FALSE,,,,,
Invoice,InvoiceId,1,INTEGER,0,FALSE,,,,,
Invoice,CustomerId,1,INTEGER,0,FALSE,,,,,
Invoice,InvoiceDate,2,DATETIME,0,TRUE,,,,,
Invoice,BillingAddress,2,NVARCHAR,70,TRUE,,,,,
Invoice,BillingCity,2,NVARCHAR,40,TRUE,,,,,
Invoice,BillingState,2,NVARCHAR,40,TRUE,,,,,
Invoice,BillingCountry,2,NVARCHAR,40,TRUE,,,,,
Invoice,BillingPostalCode,2,NVARCHAR,10,TRUE,,,,,
Invoice,Total,2,NUMERIC,0,FALSE,,,,,
InvoiceItem,InvoiceItemId,1,INTEGER,0,FALSE,,,,,
InvoiceItem,InvoiceId,1,INTEGER,0,FALSE,,,,,
InvoiceItem,TrackId,1,INTEGER,0,FALSE,,,,,
InvoiceItem,UnitPrice,1,NUMERIC,0,FALSE,,,,,
InvoiceItem,Quantity,1,INTEGER,0,FALSE,,,,,
MediaType,MediaTypeId,1,INTEGER,0,FALSE,,,,,
MediaType,Name,2,NVARCHAR,120,FALSE,,,,,